ecoevo_names,carnegie_names,checked
American Museum of Natural History,NA,Y
Arcadia Science,NA,Y
Arizona State University,Arizona State University-Tempe,Y
Arkansas State University,Arkansas State University-Main Campus,Y
Arkansas State University-Jonesboro,Arkansas State University-Main Campus,Y
Baruch College,NA,Y
"Bell Museum, University of Minnesota",University of Minnesota-Twin Cities,Y
Bigelow Laboratory for Ocean Sciences,NA,Y
Binghamton University - SUNY,Binghamton University,Y
Binghamton University SUNY,Binghamton University,Y
Brooklyn College,CUNY Brooklyn College,Y
Cal Poly Humboldt,Humboldt State University,Y
Cal Poly San Luis Obispo,California Polytechnic State University-San Luis Obispo,Y
Cal State San Marcos,California State University-San Marcos,Y
"Cal State, Long Beach",California State University-Long Beach,Y
California Department of Fish and Wildlife,NA,Y
California State - Fresno,California State University-Fresno,Y
"California State Polytechnic University, Humboldt",Humboldt State University,Y
Caltech,California Institute of Technology,Y
CDC Center for Forecasting and Outbreak Analytics,NA,Y
Chicago Botanic Garden,NA,Y
Chicago Botanical Garden,NA,Y
Cleveland Museum of Natural History,NA,Y
Colorado State University,Colorado State University-Fort Collins,Y
Columbia University,Columbia University in the City of New York,Y
Connecticut Agricultural Experiment Station,NA,Y
CUNY (Brooklyn),CUNY Brooklyn College,Y
Delaware Museum of Nature and Science,NA,Y
EcoHealth Alliance,NA,Y
EPA,NA,Y
Fairleigh Dickinson University,Fairleigh Dickinson University-Metropolitan Campus,Y
Field Museum of Natural History,NA,Y
Field Musuem of Natural History,NA,Y
Flagler College,Flagler College-St Augustine,Y
Fort Worth Botanic Garden,NA,Y
Funga,NA,Y
Georgia Institute of Technology,Georgia Institute of Technology-Main Campus,Y
Georgia Tech,Georgia Institute of Technology-Main Campus,Y
Harvard Chan School of Public Health,Harvard University,Y
Hunter College,CUNY Hunter College,Y
"Hunter College, City University of New York",CUNY Hunter College,Y
Indiana University,Indiana University-Bloomington,Y
Iowa State,Iowa State University,Y
Jackson Lab,NA,Y
Kachemak Bay National Estuarine Research Reserve (U Alaska),NA,Y
Kennesaw State Universty,Kennesaw State University,Y
Kent State University,Kent State University at Kent,Y
Louisiana State University,Louisiana State University and Agricultural & Mechanical College,Y
Marian University Indianapolis,Marian University,Y
Marine Biological Laboratory (MBL),NA,Y
Massachusetts College of Art & Design,NA,Y
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,Y
Miami University,Miami University-Oxford,Y
Missouri Botanical Garden,NA,Y
Molloy University,Molloy College,Y
National Park Service / University of Nebraska,NA,Y
National Science Foundation,NA,Y
NatureServe,NA,Y
Nazareth College of Rochester,NA,Y
New Mexico State University,New Mexico State University-Main Campus,Y
New York Botanical Garden,NA,Y
NIH,NA,Y
NOAA NCCOS,NA,Y
NOAA/CSS,NA,Y
North Carolina State University,North Carolina State University at Raleigh,Y
Northwestern State University,Northwestern State University of Louisiana,Y
Ohio State University,Ohio State University-Main Campus,Y
Ohio University,Ohio University-Main Campus,Y
Oklahoma State University,Oklahoma State University-Main Campus,Y
Oregon State University-Cascades,NA,Y
Oregon State University - Cascades,NA,Y
Oxford College of Emory University,Emory University,Y
Pace University,Pace University-New York,Y
Pacific Northwest Research Institute (PNRI),NA,Y
Penn State Harrisburg,Pennsylvania State University-Penn State Harrisburg,Y
Penn State University,Pennsylvania State University-Main Campus,Y
Piedmont University,NA,Y
Purdue University,Purdue University-Main Campus,Y
Rutgers University,Rutgers University-New Brunswick,Y
San Diego Natural History Museum,NA,Y
San Jose State University / Moss Landing Marine Labs,San Jose State University,Y
Smithsonian,NA,Y
Smithsonian Environmental Research Center,NA,Y
Smithsonian National Museum of Natural History,NA,Y
Southern Illinois University,Southern Illinois University-Carbondale,Y
State University of New York at Geneseo,SUNY College at Geneseo,Y
Stephen F. Austin State University,NA,Y
Sul Ross University,NA,Y
