Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,"Number
Applied","Mod
Flag",Notes,"Number
Applied"
10/26/2020 15:10,University of Wisconsin-Madison,Wisconsin,Emerging Contaminants / Aquatic Ecosystems,11/13/2020,https://jobs.hr.wisc.edu/en-us/job/505699/emerging-contaminants-scientist,Asst / Assoc Scientist,Permanent Non-Academic,10/26/2020 15:11,"""This position will provide applied research and outreach to address emerging contaminants and threats to Great Lakes ecosystems and public health in Wisconsin.""",,FALSE,"""This position will provide applied research and outreach to address emerging contaminants and threats to Great Lakes ecosystems and public health in Wisconsin.""",
10/26/2020 13:32,Northern Arizona University,Arizona,Environmental Science and Policy,11/10/2020,"https://hr.peoplesoft.nau.edu/psp/ph92prta/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=2&JobOpeningId=605090&PostingSeq=1
",Assoc / Full Prof,Tenure Track,10/26/2020 13:35,"""Olajos-Goslow Chair provides interdisciplinary leadership and national stature to NAU’s demonstrated strengths in ecological science, conservation, and environmental policy""",,FALSE,"""Olajos-Goslow Chair provides interdisciplinary leadership and national stature to NAU’s demonstrated strengths in ecological science, conservation, and environmental policy""",
10/26/2020 12:09,Emory University,Georgia,Quantitative Theory & Methods,11/25/2020,https://apply.interfolio.com/79099,Asst / Assoc Prof,Tenure Track,10/26/2020 22:04,"Very broad, includes theoretical ecology and evolution. different from the Biology search below  2) This looks like a CS or Stats style app-- they want a transcript and a Teaching Portfolio.  Ususual for Bio. ",,FALSE,"Very broad, includes theoretical ecology and evolution. different from the Biology search below  2) This looks like a CS or Stats style app-- they want a transcript and a Teaching Portfolio.  Ususual for Bio. ",
10/25/2020 16:17,Texas Tech University,Texas,Biology,12/1/2020,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25898&siteid=5637&PageType=JobDetails&jobid=538130#jobDetails=538130_5637,Asst Prof,Tenure Track,10/26/2020 13:41,"Biology, ecology, host/pathogen relationships, or epidemiology of emerging zoonotic diseases",,FALSE,"Biology, ecology, host/pathogen relationships, or epidemiology of emerging zoonotic diseases",
10/25/2020 16:12,Institute of Marine Research,Norway,Environmental Monitoring & Phytoplankton Ecology,11/30/2020,https://www.jobbnorge.no/en/available-jobs/job/195106/researcher-in-environmental-monitoring-and-phytoplankton-ecology,Researcher,Permanent Non-Academic,10/26/2020 21:55,Good luck getting ahead here: https://en.wikipedia.org/wiki/Law_of_Jante,,FALSE,Good luck getting ahead here: https://en.wikipedia.org/wiki/Law_of_Jante,
10/23/2020 15:17,Edge Hill University,United Kingdom,Plant Population Genetics or Plant Ecology,11/19/2020,https://www.jobs.ac.uk/job/CCD779/lecturer-or-senior-lecturer-in-biology,Lecturer / Senior Lecturer,Tenure Track,10/23/2020 20:13,"""research experience specifically in the area of plant population genetics or plant ecology, including a good knowledge of the UK flora.""",,FALSE,"""research experience specifically in the area of plant population genetics or plant ecology, including a good knowledge of the UK flora.""",
10/23/2020 14:49,Aarhus University,Denmark,Applied Biometrics,12/6/2020,https://www.nature.com/naturecareers/job/tenuretrack-assistant-professor-in-applied-biometrics-aarhus-university-au-731128,Asst Prof,Tenure Track,,,,FALSE,,
10/23/2020 14:48,Tel Aviv University,Israel,Zoology,12/1/2020,https://www.nature.com/naturecareers/job/tenure-track-position-tel-aviv-university-tau-731387,Rank Open,Tenure Track,10/26/2020 15:53,"fyi: science is pretty well-funded in Israel. There are a couple of good programs to get funding for postdocs (e.g., Zuckerman Fellowship) and there many great ecologists in Israel. 2) I always admire the science coming out of Tel Aviv, but there are very few female faculties. 3) unfortunatly this is true for many of the departments in isreal. But they do at least recognize that this is a problem and are finding ways to increase female retention in academia (e.g., increasing local postdoc fellowship oppertunities of women). ",,FALSE,"fyi: science is pretty well-funded in Israel. There are a couple of good programs to get funding for postdocs (e.g., Zuckerman Fellowship) and there many great ecologists in Israel. 2) I always admire the science coming out of Tel Aviv, but there are very few female faculties. 3) unfortunatly this is true for many of the departments in isreal. But they do at least recognize that this is a problem and are finding ways to increase female retention in academia (e.g., increasing local postdoc fellowship oppertunities of women). ",
10/23/2020 14:46,Roskilde University,Denmark,"Biogeochemistry, Terrestrial Ecology or Physical Geography",11/20/2020,https://jobs.sciencecareers.org/job/520686/assistant-professor-in-biogeochemistry-terrestrial-ecology-or-physical-geography/,Asst Prof,Fixed Term,10/23/2020 14:46,The position is limited to 3 years.,,FALSE,The position is limited to 3 years.,
10/23/2020 11:51,MIT,Massachusetts,Environment & Environmental Life Sciences,12/15/2020,https://cee.mit.edu/people/faculty-search/,Asst Prof,Tenure Track,,,,FALSE,,
