Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,Number Applied,Mod Flag,Notes Backup,Number Applied
4/4/2023 8:51,"University of California, Riverside",California,Biology,5/3/2023,https://aprecruit.ucr.edu/JPF01709,Academic Coordinator II,Permanent Non-TT,,,,FALSE,,
4/4/2023 6:09,USGS,Missouri,Landscape Ecology,4/11/2023,https://www.usajobs.gov/job/716860900,GS-12/13,Permanent Non-Academic,,,,FALSE,,
4/4/2023 5:55,Bigelow Laboratory for Ocean Sciences,Maine,Marine Optics & Remote Sensing,4/14/2023,https://bigelow.freshteam.com/jobs/wWq3fhtTFOpy/research-technician-associate-with-the-marine-optics-and-remote-sensing-laboratory,Research Technician,Fixed Term,4/4/2023 9:02,this isn't the place to post technician jobs,,TRUE,this isn't the place to post technician jobs,
4/3/2023 13:06,"University of Colorado, Boulder",Colorado,"Broad: Life Sciences, Physical Sciences, Computational Biology or Bioengineering",4/3/2023,https://jobs.colorado.edu/jobs/JobDetail/Assistant-Professor/47125,Asst Prof,Tenure Track,4/4/2023 10:44,"This ad was posted on 3/28 with a deadline of 4/3... not sure what's up with that (I only just saw it this morning). They seem most interested in people whose work has implications for human health, but some EEB-type folks might reasonably apply, since the ad is so broad and at least some of the BioFrontiers Institute faculty have their tenure home in EEB. 2) Maybe internal candidate with such a short turn-around time? 3) Link does not appear to work 4) The link worked yesterday (4/3) - maybe they took the page down the moment the deadline passed",1,FALSE,"This ad was posted on 3/28 with a deadline of 4/3... not sure what's up with that (I only just saw it this morning). They seem most interested in people whose work has implications for human health, but some EEB-type folks might reasonably apply, since the ad is so broad and at least some of the BioFrontiers Institute faculty have their tenure home in EEB. 2) Maybe internal candidate with such a short turn-around time? 3) Link does not appear to work 4) The link worked yesterday (4/3) - maybe they took the page down the moment the deadline passed",1
4/3/2023 11:32,University of Cologne,Germany,Experimental Freshwater Ecology of Animals,5/7/2023,https://www.dzg-ev.de/wp-content/uploads/2023/03/W3_Koeln2023_EN.pdf,Full Prof,Tenure Track,,,,FALSE,,
4/3/2023 9:01,Nottingham Trent University ,United Kingdom,Conservation Biology / Species Recovery,,https://www.jobs.ac.uk/job/CYQ394/senior-lecturer-conservation-biology,Sr Lecturer,Permanent Non-TT,4/3/2023 11:30,high grade Asst Prof,,FALSE,high grade Asst Prof,
4/3/2023 7:00,University of the West of England,United Kingdom,Conservation Science,4/17/2023,https://ce0164li.webitrent.com/ce0164li_webrecruitment/wrd/run/etrec179gf.open?WVID=8433573cTb&LANG=USA,Sr Lecturer,Permanent Non-TT,,,,FALSE,,
3/31/2023 7:02,Rutgers University,New Jersey,Marine Microbial Biogeochemistry,,https://jobs.rutgers.edu/postings/195240,Asst Prof,Tenure Track,3/31/2023 7:03,No review date listed. anybody know if this is an internal hire?,,FALSE,No review date listed. anybody know if this is an internal hire?,
3/31/2023 7:01,Rutgers University,New Jersey,Coral Reef Biology,,https://jobs.rutgers.edu/postings/195986,Asst Prof,Tenure Track,4/3/2023 11:32,"No review date listed. anybody know if this is an internal hire? 2) Does it seem odd that there is no research statement asked for? 3) Very strange listing. 4) no contact info either, or am I missing something? 5) Likely to be a teaching-related position since they asked for three teaching-releated docs, but no closing date seems odd. 6) the description says nothing about teaching, and actually mentions how coral reef biology is a hole in Rutgers' research portfolio. Odd job ad, but reads nothing like a teaching position, IMO.",,FALSE,"No review date listed. anybody know if this is an internal hire? 2) Does it seem odd that there is no research statement asked for? 3) Very strange listing. 4) no contact info either, or am I missing something? 5) Likely to be a teaching-related position since they asked for three teaching-releated docs, but no closing date seems odd. 6) the description says nothing about teaching, and actually mentions how coral reef biology is a hole in Rutgers' research portfolio. Odd job ad, but reads nothing like a teaching position, IMO.",
3/31/2023 1:53,Museum für Naturkunde Berlin,Germany,Integrative Taxonomy,4/30/2023,https://jobs.museumfuernaturkunde.berlin/jobposting/0588cb47d1ce17628625a3155849601aed6f8c430,Researcher,Tenure Track,3/31/2023 4:06,"Rank is ""Researcher"" which is equivalent to Assistant Professor, but no teaching responsibilities: the position is 100% research 2) According to the payscale this is a staff scientist (TVL E13) not an assist prof (W1).",,FALSE,"Rank is ""Researcher"" which is equivalent to Assistant Professor, but no teaching responsibilities: the position is 100% research 2) According to the payscale this is a staff scientist (TVL E13) not an assist prof (W1).",
3/30/2023 20:39,Oklahoma State University,Oklahoma,Horticulture and Landscape Architecture,5/1/2023,https://okstate.csod.com/ats/careersite/JobDetails.aspx?site=8&id=13370&source=HEJ,Asst / Assoc Prof,Tenure Track,3/30/2023 20:39,Small Farms and Urban Horticultural Food Crop Production Systems,,FALSE,Small Farms and Urban Horticultural Food Crop Production Systems,
3/30/2023 12:09,University of Idaho,Idaho,Controlled Environmental Agriculture,4/30/2023,https://uidaho.peopleadmin.com/postings/40043,Asst Prof,Tenure Track,3/30/2023 20:39,,,FALSE,,
3/30/2023 11:30,State University of New York at Geneseo,New York,Biology & Psychology,4/2/2023,https://jobs.geneseo.edu/postings/4255,Asst Prof,Tenure Track,3/31/2023 6:58,neuroscience focus,,FALSE,neuroscience focus,
3/30/2023 9:44,University of Florida- WFREC,Florida,Forest Management,5/20/2023,https://explore.jobs.ufl.edu/en-us/job/526315,Asst Prof,Tenure Track,3/31/2023 8:51,"""This is a 9-month tenure accruing position that will be 60% Research (Florida Agricultural Experiment Station) and 40% Teaching (College of Agricultural & Life Sciences, CALS) , available in the West Florida Research and Education Center (WFREC). This position will focus on diverse forestry and natural resource management issues. The individual is expected to assume teaching duties in a dynamic, on-going academic program in natural resource conservation. The successful candidate will teach an undergraduate course in Silviculture, and additional courses that could include Forest Mensuration, Foundations in Natural Resources and Conservation, Professional Development, Global Forests, or Society and Natural Resources, depending on candidate’s experience and interests.""",,FALSE,"""This is a 9-month tenure accruing position that will be 60% Research (Florida Agricultural Experiment Station) and 40% Teaching (College of Agricultural & Life Sciences, CALS) , available in the West Florida Research and Education Center (WFREC). This position will focus on diverse forestry and natural resource management issues. The individual is expected to assume teaching duties in a dynamic, on-going academic program in natural resource conservation. The successful candidate will teach an undergraduate course in Silviculture, and additional courses that could include Forest Mensuration, Foundations in Natural Resources and Conservation, Professional Development, Global Forests, or Society and Natural Resources, depending on candidate’s experience and interests.""",
3/29/2023 18:41,USDA,Maryland,Soil Science,4/27/2023,https://www.usajobs.gov/job/715680500,GS-12,Permanent Non-Academic,3/31/2023 3:38,"""responsible for evaluating crop responses to climate change, developing adaptation and mitigation strategies, applying systems theory to the solution of complex, agricultural problems and developing support systems and assessment tools for environmental study and analysis."". 1) Please note all the USDA or other federal related positions are only open for US citizens, not for green card holders or visa holders.",,FALSE,"""responsible for evaluating crop responses to climate change, developing adaptation and mitigation strategies, applying systems theory to the solution of complex, agricultural problems and developing support systems and assessment tools for environmental study and analysis."". 1) Please note all the USDA or other federal related positions are only open for US citizens, not for green card holders or visa holders.",
3/29/2023 12:32,Northeastern State University,Oklahoma,Freshwater Science,4/24/2023,https://www.higheredjobs.com/search/details.cfm?JobCode=178338965&Title=Assistant%20Professor%2C%20Freshwater%20Sciences,Asst Prof,Tenure Track,,,,FALSE,,
3/29/2023 2:58,Colgate University,New York,Sociology [open],4/10/2023,https://academicjobsonline.org/ajo/jobs/24605,Visiting Asst Prof,Fixed Term,3/29/2023 8:49,"possible courses include ""environmental sociology""",,FALSE,"possible courses include ""environmental sociology""",
3/28/2023 8:28,Fort Worth Botanic Garden,Texas,Botany (Conservation & Seed Banking),4/15/2023,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=72158&clientkey=6593A843A71D6AB648349B61C391D09E,Full-Time Researcher,Permanent Non-Academic,3/28/2023 8:34,"The application says the deadline is March 31, 2023, but the position is open until filled and application review will only begin on April 30, 2023. Start date is flexible. AP) Ad says review starts April 15, so I updated the sheet to encourage people to get their apps in.",,FALSE,"The application says the deadline is March 31, 2023, but the position is open until filled and application review will only begin on April 30, 2023. Start date is flexible. AP) Ad says review starts April 15, so I updated the sheet to encourage people to get their apps in.",
3/27/2023 17:14,Case Western Reserve University,Ohio,Biology (including Ecology & Evolution),5/8/2023,https://apply.interfolio.com/123028,Instructor,Permanent Non-TT,3/31/2023 6:17,"Three positions, to teach introductory and advanced lecture courses on topics including genetics, physiology, anatomy, developmental biology, cell biology, neurobiology, ecology and evolution, and to teach and supervise innovative introductory laboratory classes using a Course-based Undergraduate Research Experience format.",,FALSE,"Three positions, to teach introductory and advanced lecture courses on topics including genetics, physiology, anatomy, developmental biology, cell biology, neurobiology, ecology and evolution, and to teach and supervise innovative introductory laboratory classes using a Course-based Undergraduate Research Experience format.",
3/27/2023 13:16,Pontificia Universidad Católica de Chile,Chile,Mathematical or Computational Biology,5/7/2023,https://biologia.uc.cl/llamado-a-concurso-para-proveer-dos-cargos-de-profesora-asistente-o-asociadoa-en-categoria-ordinaria-en-biologia-matematica-o-biologia-computacional-call-for-applications-for-two-academic-positi/,Asst / Assoc Prof,Tenure Track,3/27/2023 13:17,2 positions,,FALSE,2 positions,
3/27/2023 13:14,Arcadia Science,California,Phylogenetics,,https://jobs.lever.co/arcadiascience/8d781e75-eab5-4f5e-8d7a-331a545adcb9,Scientist,Permanent Non-Academic,,,,FALSE,,
3/27/2023 2:37,Queen Mary University of London,United Kingdom,Computational Physiology / Biomedicine,4/4/2023,https://www.qmul.ac.uk/jobs/vacancies/items/8186.html,Lecturer (Teaching & Research),Permanent Non-TT,3/27/2023 10:06,"Research focused group leader position. UK system: 3 years probation then its permanent. Then you get promoted to higher ""ranks"" (i.e. Senior Lecturer/Reader/Prof) - Wikipedia can explain equivalences to US professor statuses. AP) So can the ""International Comparisons"" tab here ;)",,FALSE,"Research focused group leader position. UK system: 3 years probation then its permanent. Then you get promoted to higher ""ranks"" (i.e. Senior Lecturer/Reader/Prof) - Wikipedia can explain equivalences to US professor statuses. AP) So can the ""International Comparisons"" tab here ;)",
3/27/2023 2:36,Queen Mary University of London,United Kingdom,Computational Ecology / Evolutionary Genetics,4/4/2023,https://www.qmul.ac.uk/jobs/vacancies/items/8162.html,Lecturer (Teaching & Research),Permanent Non-TT,3/28/2023 16:30,"Research focused group leader position. UK system: 3 years probation then its permanent. Then you get promoted to higher ""ranks"" (i.e. Senior Lecturer/Reader/Prof) - Wikipedia can explain equivalences to US professor statuses. 1) I'm a lecturer at this department (didn't post this ad) but just want to say that I really like the atmosphere - very collegial and interactive.",,FALSE,"Research focused group leader position. UK system: 3 years probation then its permanent. Then you get promoted to higher ""ranks"" (i.e. Senior Lecturer/Reader/Prof) - Wikipedia can explain equivalences to US professor statuses. 1) I'm a lecturer at this department (didn't post this ad) but just want to say that I really like the atmosphere - very collegial and interactive.",
3/24/2023 14:13,Southern Oregon University,Oregon,Human Anatomy & Physiology,4/16/2023,https://jobs.sou.edu/postings/10948,Instructor,Fixed Term,3/31/2023 7:10,"1) This isn't ecoevo, though as someone mainly looking for teaching-focused positions I'll say it's depressingly common, especially at community colleges and smaller public universities - a good 60-70% of the job openings are all about whether you know how to cut up bodies. 2) I do think that a lot of vertebrate biologists are well trained for A&P type positions--many whose primary research is in ecoevo! (No offense intended @1, just want to make a case that this job is appropriate for this board.) The vertebrate community has known for a long, long time that being trained in cadaver-based anatomy is a pathway to getting a permanent job...I agree that it is unfortunate that many of those positions no longer include being able to have a research lab.",,FALSE,"1) This isn't ecoevo, though as someone mainly looking for teaching-focused positions I'll say it's depressingly common, especially at community colleges and smaller public universities - a good 60-70% of the job openings are all about whether you know how to cut up bodies. 2) I do think that a lot of vertebrate biologists are well trained for A&P type positions--many whose primary research is in ecoevo! (No offense intended @1, just want to make a case that this job is appropriate for this board.) The vertebrate community has known for a long, long time that being trained in cadaver-based anatomy is a pathway to getting a permanent job...I agree that it is unfortunate that many of those positions no longer include being able to have a research lab.",
