,Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,"Number
Applied","Mod
Flag",Notes,"Number
Applied",insti_ranking
389,10/22/2019 22:37,Auburn University,Alabama,Developmental Biology,,https://aufacultypositions.peopleadmin.com/postings/3916,Asst Prof,Tenure Track,2/4/2020 19:00,"War Eagle 2) @1 LOL! 3) Updates? 4) In person interviews are starting this week, 5 candidates interviewing",1,FALSE,"War Eagle 2) @1 LOL! 3) Updates? 4) In person interviews are starting this week, 5 candidates interviewing",1,R1
652,9/4/2019 16:24,Auburn University,Alabama,Weed Biologist,9/30/2019,https://aufacultypositions.peopleadmin.com/postings/3759,Asst Prof,Tenure Track,9/29/2019 4:48,"75% Research, 25% teaching. The successful candidate will be expected to develop a dynamic, cosmically-motivated, impactful and innovative research program in the area of weed biology, ecology, and evolution. Ability to make sour purple diesel extra skunky is a plus.",1,FALSE,"75% Research, 25% teaching. The successful candidate will be expected to develop a dynamic, cosmically-motivated, impactful and innovative research program in the area of weed biology, ecology, and evolution. Ability to make sour purple diesel extra skunky is a plus.",1,R1
779,7/19/2019 13:01,Auburn University,Alabama,Wildlife Science,9/1/2019,https://chroniclevitae.com/jobs/100858-PRO_11_P1536F,Asst Prof,Tenure Track,7/28/2019 16:29,"75% extension, 25% teaching",,FALSE,"75% extension, 25% teaching",,R1
629,9/6/2019 3:14,Boston University,Massachusetts,Earth & Environment,11/1/2019,https://academicjobsonline.org/ajo/jobs/14430,Asst Prof,Tenure Track,12/11/2019 21:16,"Two positions. Conduct research and teach in the social, behavioral, and economic dimensions of coupled human-natural systems, and the economic and policy dimensions of natural resources extraction, governance, use and conservation. 2) any news? 11/23 3) none here x2 4) 1 first interview week of 11/18, no update as of 12/7 5) okay so there has been video interviews then? 6) Yes",5,FALSE,"Two positions. Conduct research and teach in the social, behavioral, and economic dimensions of coupled human-natural systems, and the economic and policy dimensions of natural resources extraction, governance, use and conservation. 2) any news? 11/23 3) none here x2 4) 1 first interview week of 11/18, no update as of 12/7 5) okay so there has been video interviews then? 6) Yes",5,R1
251,11/22/2019 19:59,Carnegie Mellon University,Pennsylvania,Microbiomes and Microbial Systems,1/4/2020,https://apply.interfolio.com/68023,Rank Open,Tenure Track,1/17/2020 11:49,Has anyone heard something? 2)nope,1,FALSE,Has anyone heard something? 2)nope,1,R1
333,11/4/2019 15:00,Clemson University,South Carolina,Chair of the Department of Genetics and Biochemistry,1/15/2020,https://apply.interfolio.com/70795,Full Prof,Tenure Track,,,,FALSE,,,R1
239,11/25/2019 22:49,Cornell University,New York,Digital Systems Entomology,12/1/2019,https://academicjobsonline.org/ajo/jobs/15425,Asst Prof,Tenure Track,11/25/2019 22:52,"""to be located at Cornell University’s AgriTech campus at the NY State Agricultural Experiment Station in Geneva, NY. This position has an effort split of 70% research and 30% extension on a 9-month academic year basis"". Application deadline says 2020/01/06 but also that review of applications will start in December. ",3,FALSE,"""to be located at Cornell University’s AgriTech campus at the NY State Agricultural Experiment Station in Geneva, NY. This position has an effort split of 70% research and 30% extension on a 9-month academic year basis"". Application deadline says 2020/01/06 but also that review of applications will start in December. ",3,R1
394,10/22/2019 15:21,Cornell University,New York,Fungal Biology,11/20/2019,https://academicjobsonline.org/ajo/jobs/15107,Asst Prof,Tenure Track,1/9/2020 9:55,1) Anyone heard anything about this search? 2) Rejection letter recieved 1/8,1,FALSE,1) Anyone heard anything about this search? 2) Rejection letter recieved 1/8,1,R1
571,9/18/2019 16:52,Cornell University,New York,Organismal Biology,10/20/2019,https://academicjobsonline.org/ajo/jobs/14675,Asst / Assoc Prof,Tenure Track,1/29/2020 18:08,"1) as a former undergrad in this department....this is a dream job. such an amazing opportunity! 2) Does ""organismal biology"" here means code for ""Evo-Devo"" and that alone? Or people who work on more ""normal"" evolutionary biology aspects stand a chance as well? 3) knowing this department, organismal bio means a deep understanding of and appreciation for natural history and whole organisms. certainly not just evo-devo at all. if anything, I think they want someone who can do lab work and field work x2 4) They are not looking for evo-devo (at least not specifically). Heard from a friend in the department that there were ~300 applicants. 5) 10/29 Letters requested x20 6) Were you contacted about letter request, or just referees? X2 7) The email said they had whittled it down to some subset of people of whom they were going to request letters, with a general statement about submitting specific LOR through the AcademicJobsOnline service 8) At first I thought it said ~3,000 applicants!...300 is alot, but seems bit low for a general position at such a prestigious university, no? 9) I just assumed they contacted vertebrate evolutionary biologists given the avian lean in the dept? 10) Not necessarily #9, I was contacted and I work on aquatic inverts 11) I was contacted and I work on plants :) 12) I work on plants and was contacted.  13) There really isn't an avian lean in the department. The lab of ornithology is pretty independent. 14) agree with #13. Lab of O is its own entity. 15) What a great job. Good luck to all of you that made the first cut! x4 16) Have they already contacted people for Skype itw?  17) @16, Yes. Contacted on 11/13 for a video interview. x3  18) Any updates on-campus interviews? 19) None here. Had a video interview about a month ago, but have not heard anything. I just assumed on-campus interviews have already been arranged, but no direct proof. x2  20) Was contacted about an on-campus interview before holiday break. 21) rejection received 01/27 (x5 - over 300 applications) 22) 4 on campus interviews are happening now and are on the department seminar schedule",31,FALSE,"1) as a former undergrad in this department....this is a dream job. such an amazing opportunity! 2) Does ""organismal biology"" here means code for ""Evo-Devo"" and that alone? Or people who work on more ""normal"" evolutionary biology aspects stand a chance as well? 3) knowing this department, organismal bio means a deep understanding of and appreciation for natural history and whole organisms. certainly not just evo-devo at all. if anything, I think they want someone who can do lab work and field work x2 4) They are not looking for evo-devo (at least not specifically). Heard from a friend in the department that there were ~300 applicants. 5) 10/29 Letters requested x20 6) Were you contacted about letter request, or just referees? X2 7) The email said they had whittled it down to some subset of people of whom they were going to request letters, with a general statement about submitting specific LOR through the AcademicJobsOnline service 8) At first I thought it said ~3,000 applicants!...300 is alot, but seems bit low for a general position at such a prestigious university, no? 9) I just assumed they contacted vertebrate evolutionary biologists given the avian lean in the dept? 10) Not necessarily #9, I was contacted and I work on aquatic inverts 11) I was contacted and I work on plants :) 12) I work on plants and was contacted.  13) There really isn't an avian lean in the department. The lab of ornithology is pretty independent. 14) agree with #13. Lab of O is its own entity. 15) What a great job. Good luck to all of you that made the first cut! x4 16) Have they already contacted people for Skype itw?  17) @16, Yes. Contacted on 11/13 for a video interview. x3  18) Any updates on-campus interviews? 19) None here. Had a video interview about a month ago, but have not heard anything. I just assumed on-campus interviews have already been arranged, but no direct proof. x2  20) Was contacted about an on-campus interview before holiday break. 21) rejection received 01/27 (x5 - over 300 applications) 22) 4 on campus interviews are happening now and are on the department seminar schedule",31,R1
579,9/17/2019 5:05,Cornell University,New York,Limnology / Freshwater Biology,10/20/2019,https://academicjobsonline.org/ajo/jobs/14624,Asst / Assoc Prof,Tenure Track,1/28/2020 18:02,"""Three References (no actual letters, just names and email addresses)"" 👍x3 2) does this mean they request automatically or wait and do it for selection of candidates? 3) Any updates? 4) Nothing here x9 5) Email on 11/1 asking me to ask my references to send letters x13 6) @5 Thank you for the update all the best to all of you 7) Has anyone been invited for interview? 8) Had letters requested but nothing since -- the LOR deadline was only last Friday (11/15) though 9) Zoom interview request (11/21) x6 10) any news post-zoom interview? 11) nothing here x7 (12/19) 12) During the interview they said that on-sites would be invited at some point in mid-December... 13) Emailed the search chair to ask about onsites - they haven't made decisions yet (12/23). 14) Thank you for the update @13! 15) any news? 16) Invited for on-site interview (1/7)x3 17) congrats 16! 18) received rejection email today 19) Never received rejection email. Weird. ",17,FALSE,"""Three References (no actual letters, just names and email addresses)"" 👍x3 2) does this mean they request automatically or wait and do it for selection of candidates? 3) Any updates? 4) Nothing here x9 5) Email on 11/1 asking me to ask my references to send letters x13 6) @5 Thank you for the update all the best to all of you 7) Has anyone been invited for interview? 8) Had letters requested but nothing since -- the LOR deadline was only last Friday (11/15) though 9) Zoom interview request (11/21) x6 10) any news post-zoom interview? 11) nothing here x7 (12/19) 12) During the interview they said that on-sites would be invited at some point in mid-December... 13) Emailed the search chair to ask about onsites - they haven't made decisions yet (12/23). 14) Thank you for the update @13! 15) any news? 16) Invited for on-site interview (1/7)x3 17) congrats 16! 18) received rejection email today 19) Never received rejection email. Weird. ",17,R1
